Artist,Tracks,Hours,Genres
The Ocean Collective,10,1.00,post-rock|progressive metal|metal|experimental|sludge metal|post-metal|sludge|atmospheric sludge metal|progressive/atmospheric/sludge-metal / post-hardcore
mindvacy,10,1.00,Unknown
Riverside,10,0.90,progressive metal|progressive rock|polish
Brainblast,10,0.70,death metal|technical death metal|progressive death metal|symphonic death metal
I, Omega,10,0.60,Unknown
Blasteroid,10,0.80,Unknown
Beneath the Massacre,10,0.50,death metal|technical death metal|brutal death metal|deathcore
Frogg,10,1.00,funk|gangsta rap|hip hop
Isotropy,9,0.50,instrumental death metal|death metal
Joe Satriani,9,0.80,rock|progressive rock|instrumental|blues|hard rock|instrumental rock|blues rock|estados unidos
Anika Nilles,9,0.60,jazz fusion
Embrace of Disharmony,9,1.00,progressive metal
Symphony X,9,0.70,power metal|usa|mythology|virtuoso|technical|american|unites states|new jersey|estados unidos|symphonic metal|progressive metal|neoclassical metal|metal
Melehan,9,0.80,Unknown
The Sword,9,0.60,heavy metal|metal|stoner rock|doom metal|hard rock|stoner metal|alternative metal
Brood of Hatred,9,0.60,Unknown
Béla Fleck,9,0.60,bluegrass|jazz fusion|jazz|classical|american|composer|folk
Four Stroke Baron,9,0.60,Unknown
Havukruunu,9,1.00,winter|black metal|darkness|pagan metal|pagan black metal|melodic black metal|viking metal|finnish paganism|loneliness|sadness
The New Pornographers,9,0.50,rock|pop|canadian|canada|indie rock|canadien|power pop|alternative|indie pop|vancouver|rock and indie
Skeletonwitch,9,0.90,melodic death metal|thrash metal|metal|death metal|black metal|death|satan|blackened thrash metal|violence|occultism
Lunar,9,1.00,seto no hanayome
Mirar,8,0.60,instrumental|progressive metal|thall
Nick Padovani,8,0.80,Unknown
Sordid Pink,8,0.60,djent|alternative metal|progressive metal|hard rock
Adrian Bellue,8,0.80,Unknown
i Häxa,8,0.50,Unknown
Sylosis,8,0.70,thrash metal|death metal|progressive metal|metalcore
Iron Maiden,8,0.80,rock|heavy metal|progressive metal|metal|british|seen live|uk|hard rock|power metal|nwobhm|english|awesome|rock and indie|new wave of british heavy metal|825646222902|awe︎some|reino unido
King Crimson,8,0.90,rock|progressive rock|jazz|experimental|british|new wave|uk|improvisation|progressive|art rock|classic rock|abstract|experimental rock|symphonic rock|jazz fusion|english|england|united kingdom|symphonic prog|pioneers|classic pop and rock|eclectic|free improvisation|avant-prog|surreal|progressif|anxious|eclectic prog|post-progressive|aln-sh|absent lovers
Spock’s Beard,8,0.90,symphonic prog|retro prog|progressive rock|art rock|neo-progressive rock|hard rock|rock opera
Monika Roscher Bigband,8,0.60,jazz|math-jazz|experimental|avant-pop|prog
StarTalk Podcast Full Episodes,8,0.90,soundtrack|classical|special purpose artist|fixme|ambient|bogus artist|software company as artist|meta artist|cotm|death metal|black metal|british|uk|composer|traditional|pop and chart|easy listening soundtracks and musicals|unknown|relaxation|bogus|fixme-probably not a real artist|1 10 188043 183 17153 34783 54830 72970 97673 116825 128263 157073 171433|merge me|bing crosby fank sinatra louis armstorng nat king cole doris day|nursery rhymes|merge|rhymes|mergeme|stop merging crap so my tags get fucked up|fix|nursery rhymes collection|kids hut|kids songs|nursery rhymes playlist|wheels on the bus|johny johny yes papa|cleanup|fix tags|has german audiobooks|dumping ground|don't rate the [unknown] artist|lazy asses|fixme or cleanup|merge into [anonymous] or [traditional]|fixme [spa] mess|spamess|test merging tags test|merge all the unrighteous fellows are all unpardonable!|special purpose
Science Vs,8,0.70,Unknown
Martin Gonzalez,8,0.50,Unknown
Be’lakor,8,1.00,melodic death metal|progressive metal|metal|progressive melodic death metal|melodic progressive death metal
Cormorant,8,1.00,history|sociopolitical|humanity|death|melodic death metal|progressive black metal|black metal|progressive metal|folk metal
Dreamless Veil,8,0.60,metal|death metal|extreme metal|black metal
Everon,8,0.70,progressive rock|european|german
Voivod,8,0.70,heavy metal|progressive metal|thrash metal|metal|war|space|philosophy|technical thrash metal|science fiction|society|violence|2008 universal fire victim
Inhalo,8,0.70,Unknown
Epitaphe,8,0.60,experimental|funeral doom metal|metal|black metal|doom metal|death metal
Andrea,7,0.60,classical|pop|italian|classical crossover|european|tenor|classical pop|italian pop|italian tenor|italian classic
The Untold,7,0.70,Unknown
After the Burial,7,0.50,progressive metal|metalcore|progressive|deathcore|mathcore|djent|melodic metalcore|progressive metalcore
Nova Collective,7,1.00,progressive rock|jazz fusion|progressive metal|instrumental
Between The Buried And Me,7,1.00,mathcore|progressive metalcore|metalcore|progressive metal|progressive-metal / metalcore|metal
Humaniac,7,0.60,Unknown
Umulamahri,7,0.70,avant-garde death metal
MIRAR,7,5.70,instrumental|progressive metal|thall
Lunar Chamber,6,0.70,progressive death metal|death metal|death doom metal|technical death metal|progressive metal|doom metal
Phantom Spell,6,0.80,rock|heavy metal|progressive metal
John Matos,6,0.50,Unknown
Karmanjakah,6,0.50,black metal
Anders Fridén,6,0.50,Unknown
夢遊病者,5,0.50,atmospheric black metal|avant-garde metal|black metal|metal|dissonant black metal
Vorga,5,0.50,black metal|melodic black metal|atmospheric black metal|cosmic black metal
Spectral Lore,5,0.70,heavy metal|ambient|progressive metal|metal|black metal|atmospheric black metal|philosophy|nature|space black metal|cosmos|atmospheric post-black metal|cosmic black metal
Igor Stravinsky & London Symphony Orchestra,4,1.20,star wars|british orchestra|classical|symphony orchestra|orchestra
Dreamer,4,0.50,Unknown
Erebor,3,0.50,Unknown
low before the breeze,3,0.60,Unknown
Open to debate,2,1.80,Unknown
White Noise Spectrum,2,1.00,Unknown
Sounds for Life,1,1.20,rock|trance|electronic|soundtrack|classical|pop|special purpose artist|jungle|fixme|instrumental|chillout|ambient|rap|jazz|folk|punk|metal|meta artist|blues|punk rock|ska|pop-rock|experimental|new wave|electro|hip hop|bluegrass|2002|reggae|rockabilly|country|2004|world|tango|goth|opera|fusion|indie|kpop|compilation|new age|eurodance|psytrance|lounge|blues rock|country rock|classic|fix me|christmas|folklore|1990s|2000s|soft rock|rock and roll|progressive trance|popular|latin|musical|psychobilly|live|drum bass|club|chicago|choral|meditation|japan|virginia|ost|basque|2000|2001|español|mashup|candombe|beethoven|michael jackson|trikitixa|ultimate love songs greatest love of all disc 1|orthodox|nederlands|calypso|ragga|alternative pop ballad club dance electro france chanson german trance hip-hop rnb rock music soul vocal house|unknown|va|full of fail tags|nox|wireharp|bareto|sprechgesang|mohsen namjoo|frédéric chopin|klaus baumgart|mess|ibiza|musica|various artists|healing sixes|la grande sophie|berlin school|嫌われ松子の歌たち|z103 5 street mix 2k7|john coltrane|binaural beats|hemi-sync|artist|venezolana|niroshima|nitzer ebb|bioshock soundtrack|shankar jaikishan|visions|gérard palaprat|local music of iran|mary j blige|bravo hits|fix your tags|infantil|razieq|rhythm del mundo|http musicbrainz org release-group b2aa521d-001b-34ad-a5e9-ca310e55b254 html|dresch|africa middle east|montuno|more 70|backstreet boys|classique|80 s fresh new|ussr ministry of culture chamber choir|classwar karaoke|josquin|elc chritmas|futebol|gospel religious|various|armin van buuren|tags|kinderliedjes kapiteinwinokio humo|absolute reggae|hot hits|celtic spirit vol 7|soul cargo|the welcome committee|es lebe der punk|mimicking birds|liturgic|miroque|tejano|devotional|alirio diaz|jucanto|educacion|liz|liz andrade|andrade|old skool of rock disc 1|vera kaa|sunshine|release|1 16 217528 150 13231 25894 39556 62358 75112 86121 96491 108473 122788 134485 144086 155376 166189 186497 197822|marilyn manson|cobles|kinderchöre|die drei|sonic seducer cold hands vi|andre powels|zero t 51|hillbilly|tunguska chillout grooves|birthday|label as artist|foreign language|andrew york|fjord|we ll never stop living this way a ghostly primer|fuzzy artist|shwetabh sucks|glass|dedicated to you vol 1|mega|piosenka poetycka muzyka autorska|adam beyer|billboard 1 hits|r&b|pzzqxnzt6snn_ekrngheoblbupu-|don't rate the va artist ffs what|50cents|breakout artists|stop using this for artist credits you are to lazy to look-up/make. ffs!|apparently people are unable to comprehend what "various artists" is|pavarotti|desperado|grase|101 moments in music|greatest ever! punk & new wave: the definitive collection|los 24 grandes éxitos de la zarzuela|volkstümliche musik|papeete|2014|fix|zweiohr|likedis auto|ultimatecore|a crooner collection|lil eazy-e|virginia beach|http://www.musik-sammler.de/cover/734500/734011.jpg|bravo hits 82|devotional buddhist chants|don't tag the va artist wtf|fail tags|mess mess|fix tags|why are you downvoting the "mess" tag? it is a mess!|stop using this for artist credits you are to lazy to look-up/make|don't rate the va artist|don't tag the va artist|messy tags|tagmess|various artist; not *every* artist|shine 4|has german audiobooks|2001 space odyssey|oldest artist #1|casanovas|2017|мелодии рождества|no this is still a mess|mess mess mess|why are you voting down tags that explain stuff|you *should* fix your tags|still a mess|stop using this for artist credits you are to lazy to look-up/make. srsly|practically all these tags are fail|faaaaaail|failtags|rename into [various artists]|no matter how long you keep voting down the "fixme" tag i will fight you. this should be fixed|please fix|fix mess|tagsmess|don t tag the va artist (yes i am aware of this irony)|don t rate the va artist|don't use this for artist credits you are to lazy to look-up/make|groom to the gallows|megafixme|loosers that downvote fixmetags are ...|stop using this for artist credits period!|don t use this for artist credits you are to lazy to look-up/make|[various artists]|f to the i to the x to the m to the e|do not using this for artist credits|you do realise that every time you downvote a fixme-tag below 0 i unvote it and that tag now permanently stays in the expanded list?|kindly fix|kindly fixme|please rename to [various artists]|don't tag or rate the various artist|lamb of god|ncs|21 throwback jams|acoustic best|legion of von|my sharona|cdx|5099265803|experience the classics|absolute voices|ƒk₷ℳ€|ḟixme|oldest artist rowid|fix‌me|bring up on-par with the other spa's and put this in brackets|i give up on the immature people in the tags here.|please consider not using this for artist credits|m‌ess|number 1|driven by 80s anthems|to the guy that keeps downvoting *every* tag on the va artist|every-time you and others downvote. it registers in your tags. then i remove my vote. presto! you're the only one keeping it here!|put in brackets|hollywood hits|new generations|new generations philip glass|compilatie|celtic celebration|leaving on a jet plan|bflaminio|ronak bhatt|special purpose|alabama thunderpussy|dfree843|cdnnnow128|tag spam|va - we were first - 180 hits in their original versions (2014)|boot land|s.a. souvenirs|mugwart was a sludge/punk/doom/hardcore band from virginia beach|active 1998–2002. emerging from the tidewater crust‑punk/skate scene|the group combined punk urgency and hardcore aggression with downtuned sludge heaviness and doom atmosphere. their raw|abrasive sound placed them firmly within the late‑1990s/early‑2000s underground|while maintaining a distinctly punk ethos. the band’s definitive release is discography (this dark reign recordings|tdr‑13|usa)|which compiles studio material from 1999–2002. tracks were originally issued (or intended) across several small‑label documents: “before you / fallen” — acrude records (crude‑01|france)|7″ single. because sometimes two are better than one — split with fistula|shifty records (sh09|3″ cd. south of hell – 14 songs from the new south — berserker records (ber‑005|compilation. crushers killers destroyers! — shifty records (sh08|compilation. doomed — this dark reign recordings (tdr‑001|compilation. mugwart performed throughout virginia and the surrounding region|sharing stages with grief|damad|fistula|sofa king killer|and clutch. in 2011|uk extreme‑metal band dragged into sunlight selected mugwart’s track “fallen” for a curated mixtape in terrorizer magazine (issue #285)|highlighting the group’s ongoing resonance nearly a decade after disbanding. legacy: though short‑lived|mugwart is regarded as a cult|foundational act of the virginia sludge/punk/doom underground. their recordings circulate digitally via bandcamp and streaming platforms|and their influence continues to be cited by later generations of extreme bands. disambiguation: this is mugwart (virginia beach|mugwart (has nothing to do with (“mugwort”)|needs to be removed|sludge hardcore punk
JeffeLeffe,1,1.00,Unknown
DOOM Mix,1,1.10,ambient|j-pop|vgm|japanese classical
